Label	Weight	Text
l_BasicBotLuisApplication	2.306123	i need a machine with a 512gb hard disk
l_BasicBotLuisApplication	2.306123	i'm bailing
l_BasicBotLuisApplication	2.306123	i am looking for a grey surface book 2 with 256 gb disk
l_BasicBotLuisApplication	2.306123	please cancel
l_BasicBotLuisApplication	2.306123	cancel
l_BasicBotLuisApplication	2.306123	i want a surface go in grey with 64gb storage
l_BasicBotLuisApplication	2.306123	help please
l_BasicBotLuisApplication	2.306123	how do i interact with you
l_BasicBotLuisApplication	2.306123	confused
l_BasicBotLuisApplication	2.306123	i want a surface pro 6
l_BasicBotLuisApplication	2.306123	no way, i won't give you my location
l_BasicBotLuisApplication	2.306123	i want 32gb disk
l_BasicBotLuisApplication	2.306123	abort
l_BasicBotLuisApplication	2.306123	what can you do
l_BasicBotLuisApplication	2.306123	what can you help me with
l_BasicBotLuisApplication	2.306123	no way
l_BasicBotLuisApplication	2.306123	i don't understand
l_BasicBotLuisApplication	2.306123	why doesn't this work
l_BasicBotLuisApplication	2.306123	i'n looking for a surface studio
l_BasicBotLuisApplication	2.306123	stop
l_BasicBotLuisApplication	2.306123	i will not give you my name
l_BasicBotLuisApplication	2.306123	i'm not going to tell you where i live
l_BasicBotLuisApplication	2.306123	can you help me
l_BasicBotLuisApplication	2.306123	don't do that
l_BasicBotLuisApplication	2.306123	i'm looking for an i5 laptop in black
l_BasicBotLuisApplication	2.306123	i'm looking for 256 storage
l_BasicBotLuisApplication	2.306123	what can i say
l_BasicBotLuisApplication	2.306123	what do i do now
l_BasicBotLuisApplication	2.306123	ineed a surface book with 512 disk and 16gb memory
l_BasicBotLuisApplication	2.306123	i'm stuck
l_BasicBotLuisApplication	2.306123	i'm lost
l_BasicBotLuisApplication	2.306123	don't do it
l_BasicBotLuisApplication	2.306123	i would like to cancel
l_BasicBotLuisApplication	2.306123	quit
l_BasicBotLuisApplication	2.306123	what are your capabilities
l_BasicBotLuisApplication	2.306123	please stop
l_BasicBotLuisApplication	2.306123	i want a surface pro 6 with 8gb ram and a 128 gb disk
l_BasicBotLuisApplication	2.306123	frustrated
l_BasicBotLuisApplication	2.306123	help
l_BasicBotLuisApplication	2.306123	what i7 machines do you have
l_BasicBotLuisApplication	2.306123	i will not give you my location or name
l_BasicBotLuisApplication	2.306123	i want a machine with 512gb storage
l_BasicBotLuisApplication	2.306123	lost
l_BasicBotLuisApplication	2.306123	i need 62gb
l_BasicBotLuisApplication	2.306123	i won't give you my name
l_BasicBotLuisApplication	2.306123	help me
l_BasicBotLuisApplication	2.306123	i'm looking for a surface
l_BasicBotLuisApplication	2.306123	i want a device with lte connectivity and 8gb ram
l_BasicBotLuisApplication	2.306123	i need a surface laptop 2 in black with 16gb ram
None	1.948276	you can call me steve
None	1.948276	i'm lili
None	1.948276	world wide pants
None	1.948276	melanie
None	1.948276	good morning
None	1.948276	dan
None	1.948276	getting tired of you
None	1.948276	hello
None	1.948276	how are you
None	1.948276	i live in london
None	1.948276	yo
None	1.948276	dhaka
None	1.948276	i'm lauren, and i'm from madrid
None	1.948276	who am i speaking with
None	1.948276	mumbai
None	1.948276	i reside in san francisco
None	1.948276	hello bot
None	1.948276	vishwac is my name
None	1.948276	my name is maria and i'm from sydney
None	1.948276	portland
None	1.948276	cook me something
None	1.948276	hey there
None	1.948276	how old are you
None	1.948276	who is your boss
None	1.948276	are you busy
None	1.948276	i am tired of you
None	1.948276	can you fly
None	1.948276	are you old
None	1.948276	i'd rather be riding my bike
None	1.948276	dont you ever sleep
None	1.948276	spaghetti
None	1.948276	tony is my name
None	1.948276	hey
None	1.948276	her cat has no teeth
None	1.948276	hiya
None	1.948276	do you play games
None	1.948276	how are you today
None	1.948276	paris
None	1.948276	gnocchi
None	1.948276	delhi
None	1.948276	you are boring
None	1.948276	my location is new york
None	1.948276	what's your age
None	1.948276	i'm john from cairo
None	1.948276	you can assume i live in cairo
None	1.948276	toronto
None	1.948276	who am i speaking to
None	1.948276	who are you
None	1.948276	hi
None	1.948276	have you any dreams
None	1.948276	good evening
None	1.948276	what's your name
None	1.948276	hi bot
None	1.948276	i'm from georgia
None	1.948276	my name is tom
None	1.948276	shangai
None	1.948276	call me scott
None	1.948276	seattle is my current city
q_LinkMappings	11.3	Surface
q_LinkMappings	11.3	Surface
q_LinkMappings	11.3	Surface
q_LinkMappings	11.3	Surface
q_LinkMappings	11.3	Surface
q_LinkMappings	11.3	Surface
q_LinkMappings	11.3	Surface
q_LinkMappings	11.3	Surface
q_LinkMappings	11.3	Surface
q_LinkMappings	11.3	Surface
q_MicrosoftStoreFAQ	1	Is Surface Go a tablet or laptop
q_MicrosoftStoreFAQ	1	Does Surface Go need antivirus
q_MicrosoftStoreFAQ	1	Does Surface Book 2 need a screen protector
q_MicrosoftStoreFAQ	1	Does Surface Laptop 2 have a camera
q_MicrosoftStoreFAQ	1	Can Microsoft Surface Go run Photoshop
q_MicrosoftStoreFAQ	1	Can you code or programming on Surface Book 2
q_MicrosoftStoreFAQ	1	Will Surface Go run Office
q_MicrosoftStoreFAQ	1	Does Surface Laptop 2 need a screen protector
q_MicrosoftStoreFAQ	1	Is Microsoft Office free on Surface Go
